# Time	Cd	Cl	Cm
0.33	2.79285	-0.000142029	2.32937e-05
0.331	2.78961	-0.000145778	2.3982e-05
0.332	2.7864	-0.000142562	2.39237e-05
0.333	2.7832	-0.000134392	2.40608e-05
0.334	2.78001	-0.000230993	2.04566e-05
0.335	2.77684	-0.000136931	2.37418e-05
0.336	2.77371	-0.000149945	2.32106e-05
0.337	2.77059	-0.000145092	2.32022e-05
0.338	2.76749	-0.000149599	2.29236e-05
0.339	2.76439	-0.000148377	2.26698e-05
0.34	2.76133	-0.000209181	2.05473e-05
0.341	2.75831	-8.66301e-05	2.53145e-05
0.342	2.75529	-0.000204473	2.15836e-05
0.343	2.75232	-8.8858e-05	2.54547e-05
0.344	2.7493	-0.000179617	2.20775e-05
0.345	2.74634	-4.3027e-05	2.576e-05
0.346	2.7434	-0.000138967	2.27164e-05
0.347	2.74048	-0.000124059	2.3778e-05
0.348	2.73748	-0.000175112	2.06386e-05
0.349	2.73464	-0.000168213	2.10837e-05
0.35	2.73177	-0.000151664	2.13772e-05
0.351	2.72895	-0.000147632	2.09649e-05
0.352	2.72611	-0.00015221	2.15079e-05
0.353	2.7233	-0.000143525	2.0906e-05
0.354	2.7205	-0.000146688	2.09805e-05
0.355	2.71772	-0.00014126	2.12482e-05
0.356	2.71489	-0.000143725	2.09138e-05
0.357	2.71213	-0.000140365	2.07516e-05
0.358	2.70932	3.40664e-05	2.6392e-05
0.359	2.7066	-0.000130955	2.12933e-05
0.36	2.70389	-0.000160928	1.9771e-05
0.361	2.70121	-0.000157008	1.98795e-05
0.362	2.69853	-0.000151917	1.98455e-05
0.363	2.69586	-0.000150567	1.98717e-05
0.364	2.6932	-0.000148665	2.00239e-05
0.365	2.69061	-0.000146924	1.88321e-05
0.366	2.68801	-0.000147288	1.94182e-05
0.367	2.68541	-0.000145027	1.93549e-05
0.368	2.68285	-0.000143195	1.87602e-05
0.369	2.68028	-0.000147881	1.97634e-05
0.37	2.67773	-0.000140505	1.88539e-05
0.371	2.6752	-0.000142212	1.91592e-05
0.372	2.67267	-0.000137248	1.86564e-05
0.373	2.67018	-0.000144113	1.93061e-05
0.374	2.66768	-0.000136804	1.91024e-05
0.375	2.6652	-0.000170569	1.64358e-05
0.376	2.66275	-0.000140474	1.91244e-05
0.377	2.66028	-0.000137784	1.91041e-05
0.378	2.65785	-0.000140299	1.74573e-05
0.379	2.65544	-0.000138758	1.80239e-05
0.38	2.65303	-0.0001384	1.81418e-05
0.381	2.65064	-0.000115092	1.93083e-05
0.382	2.64825	-0.000133725	1.81657e-05
0.383	2.64588	-0.000133019	1.80811e-05
0.384	2.64352	-0.000131922	1.79831e-05
0.385	2.64118	-0.000129668	1.79549e-05
0.386	2.63885	-9.26003e-05	1.99633e-05
0.387	2.63653	-0.000122738	1.7873e-05
0.388	2.63422	-0.000164669	1.57559e-05
0.389	2.63191	-0.000183356	1.47003e-05
0.39	2.62962	-0.000135447	1.66752e-05
0.391	2.62733	-0.000142823	1.79894e-05
0.392	2.6251	-0.000135551	1.74116e-05
0.393	2.62287	-0.000140681	1.77135e-05
0.394	2.62065	-0.000230833	1.33138e-05
0.395	2.61844	-1.68138e-05	2.26204e-05
0.396	2.61621	-0.000247543	1.24473e-05
0.397	2.61401	-4.66962e-05	2.11335e-05
0.398	2.61183	-0.000190461	1.47949e-05
0.399	2.60966	-0.000104897	1.84752e-05
0.4	2.6075	-0.000147235	1.65098e-05
0.401	2.60532	-0.000133805	1.70452e-05
0.402	2.60313	-0.000138107	1.63424e-05
0.403	2.60109	-0.000147449	1.79835e-05
0.404	2.59898	-0.000130899	1.67501e-05
0.405	2.59685	-0.000141968	1.6167e-05
0.406	2.5948	-0.000132972	1.74539e-05
0.407	2.59269	-0.000139183	1.61449e-05
0.408	2.59063	-0.000118619	1.65557e-05
0.409	2.58848	-0.000147532	1.64337e-05
0.41	2.58645	-0.00014193	1.63258e-05
0.411	2.58443	-0.000134905	1.61952e-05
0.412	2.58241	-0.000133769	1.60441e-05
0.413	2.5804	-0.000134492	1.60588e-05
0.414	2.5784	-0.000132872	1.60569e-05
0.415	2.57641	-0.000126209	1.60425e-05
0.416	2.57443	-0.000104604	1.75645e-05
0.417	2.57246	-0.000216423	1.18787e-05
0.418	2.57051	-0.000130593	1.4972e-05
0.419	2.56857	-0.000137529	1.53535e-05
0.42	2.56664	-0.00013727	1.56624e-05
0.421	2.56471	-0.000135427	1.53069e-05
0.422	2.5628	-9.5842e-05	1.80964e-05
0.423	2.56088	-0.000224424	1.02916e-05
0.424	2.55901	-4.60957e-05	1.91161e-05
0.425	2.5571	-0.000222064	1.11991e-05
0.426	2.55525	-7.81188e-05	1.74704e-05
0.427	2.55337	-0.000173319	1.32442e-05
0.428	2.55152	-0.000119123	1.54888e-05
0.429	2.54967	-0.000147691	1.42405e-05
